"MLS Number","Type","Air Conditioning","Apartment YN","List Price","Patio","% Interests In Common Elmts","School Elementary","School High","School Junior","School Middle","Photo Count","Pool Type","Pools Num","Property Type","Prop Type","Rear Yard Vehicle Access YN","Roof Type","Gas Type","Green Building Cert Attached YN","Heating","Lot Size","Navigable YN","Original List Price","Out Building","Approx Living Area","Acres#","Appliance Included","Bounding Streets","Car Storage","Condition","Energy Efficient Features","Exterior","Exterior Features","Fireplace","Foundation","LP/SqFt","Age Desc 1","Cond","Approx Total SqFt","Beds Total","Baths Full","Baths Half","Age","DOM","Car Stor","Sold Price","Sold Date","SP$/SQFT"
"2315931","SGL","Central","No","$245,000","Concrete","","","","","","26","","","Residential","RES","No","Metal","None","No","Central",".31 acres","No","$245,000","","1,710","0.31","Dryer, Dishwasher, Refrigerator, Range/Oven, Washer","LA 59,CENTERBOARD ST.","Driveway Only","Vrgd","","Vinyl Siding","Driveway Permeable Surface, Porch Screened In","Wood","Slab","$143.27","RSL","VRGD","1,800","4","2","0","32","2","DR","$247,973","10/26/2021","$145.01  "
"2315961","TNH","Central","No","$185,000","Concrete","","","","","","18","Community, Inground","","Residential","RES","","Shingle","Natural","No","Central","32 x 55","No","$185,000","","949","0.00","Disposal, Dishwasher, Microwave, Range/Oven","HWY.25, DUNDEE ST.","One, Attached, Garage","Excellent","","Vinyl Siding, Wood Siding","","None","Slab","$194.94","RSL","EXCE","1,300","2","2","0","15","0","1,AT,GR","$186,000","10/22/2021","$196.00  "
"2316125","SGL","One, Central","","$294,000","Concrete, Covered","","","","","","21","None","","Residential","RES","","Shingle","None","No","One, Central","90X150","","$294,000","","1,818","0.00","","ALLEN RD, ABITA SPRINGS DR","Driveway Only","New","","Siding","","None","Slab","$161.72","NEW","NEW","2,441","3","2","0","0","2","DR","$300,000","10/29/2021","$165.02  "
"2316751","SGL","One, Central","No","$210,000","None","","stpsb.org","stpsb.org","stpsb.org","stpsb.org","19","None","","Residential","RES","Yes","Shingle","None","No","One, Central","100x150","No","$210,000","Shed","1,300","0.00","","HWY 59, WALKER","Three or More, Driveway Only","Avg","","Vinyl Siding","Porch Screened In","None","Raised","$161.54","RSL","AVG","1,300","3","2","0","15","4","3PLUS,DR","$215,000","11/17/2021","$165.38  "
"2317322","SGL","One, Central","No","$254,900","Wood","","","","","","17","None","","Residential","RES","No","Shingle","Natural","No","One, Central","90x150","No","$254,900","Shed","1,375","0.00","Disposal, Dishwasher, Range/Oven","ST CHARLES AND 7TH","Three or More, Driveway Only","Excellent","","Vinyl Siding","Fence","Gas","Raised","$185.38","RSL","EXCE","1,500","3","2","0","25","2","3PLUS,DR","$253,000","11/05/2021","$184.00  "
"2317036","SGL","Central","","$245,000","","","","","","","20","None","","Residential","RES","","Metal","Natural","No","Central","100x120","","$245,000","Shed","1,420","0.00","","BRYAN","Driveway Only","Excellent","","Vinyl Siding","","Wood w/Gas Starter","Raised","$172.54","RSL","EXCE","1,544","3","2","0","26","4","DR","$246,500","11/15/2021","$173.59  "
"2319864","SGL","Central","","$160,000","","","","","","","28","","","Residential","RES","","Shingle","None","No","Central","60x120","","$160,000","","1,130","0.00","","HWY 59","Carport","Avg","","Brick","","Wood","Slab","$141.59","RSL","AVG","1,200","3","1","1","31","4","CP","$158,500","11/18/2021","$140.27  "
"2320085","SGL","Central","","$335,000","","","","","","","21","None","","Residential","RES","","Shingle","Butane","No","Central","87.5X120","","$335,000","","1,750","0.24","","MAIN STREET","Carport, Covered, Off Street Parking","Avg","","Siding","Fence, Porch","Gas","Raised","$191.43","RSL","AVG","2,500","3","2","1","19","1","CP,CV,OF","$325,000","11/22/2021","$185.71  "
"BR2018018943","SGL","Central, Heat Pump","","$186,000","Covered","","West BR Paris","West BR Paris","","West BR Paris","0","","","Residential","RES","","Asphalt","None","","Central","85 X 159.53","","$186,000","","1,560","","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Garage","","","Brick, Other, Vinyl Siding","Porch","","Slab","$119.23","","","2,119","3","2","","","53","2,GR","$189,000","02/20/2019","$121.15  "
"BR2021013507","SGL","Central","","$316,025","Covered","","West BR Paris","West BR Paris","","West BR Paris","2","","","Residential","RES","","Shingle","","","Central, Gas","80x135","","$316,025","","2,610","0.25","Disposal, Dishwasher, Microwave, Range/Oven","","Two, Attached, Garage","","","Brick, Frame, Stucco","Porch","Gas, Yes","Slab","$121.08","","","3,439","4","3","","","0","2,AT,GR","$316,025","11/08/2021","$121.08  "
