"ML#","% Interests In Common Elmts","Sewer Type","Sold Price","Spa Location","Special Assessments YN","Stories","Stories In Building","Style","Subdivision","Tennis Courts YN","Termite Contract YN","Transaction Type","Water Type","Waterfront","Year Built"
"2315931","","City","$247,973","None","","1.0","","Acadian","Southwind","","No","","Public","",""
"2315961","","Utility Co.","$186,000","None","","1.0","","Townhouse","The Villas at Abita Springs","","No","","Public","Water View",""
"2316125","","Treatment Plant","$300,000","","","1.0","","Ranch","Not a Subdivision","","No","","Well","",""
"2316751","","City","$215,000","None","","1.0","","Cottage","New Subdivision","","No","","Public","",""
"2317322","","City","$253,000","None","","1.0","","Acadian","Abita Springs","","Yes","","Public","",""
"2317036","","City","$246,500","","","1.0","","Cottage","Not a Subdivision","","No","","Public","",""
"2319864","","City","$158,500","","","1.0","","Ranch","Not a Subdivision","","No","","Public","",""
"2320085","","City","$325,000","","","2.0","","Acadian","Abita Springs","","No","","Public","",""
"BR2018018943","","City","$189,000","","","1.0","","Traditional","Plantation Ridge","","","","Public","","2019"
"BR2021013507","","City","$316,025","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","Water Front","2021"
"BR2021013802","","City","$320,000","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","Water Front","2017"
"BR2021013849","","City","$268,855","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","","2021"
"BR2021014000","","City","$270,000","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","Water Access Community","2012"
"BR2021014167","","City","$237,000","","","1.0","","Contemporary","Acadian Crossing","","","","Public","","2014"
"BR2021014235","","City","$249,000","","","1.0","","French Country","Sugar Mill Plantation","","","","Public","","2009"
"BR2021014318","","City","$303,275","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","Water Front","2021"
"BR2021014423","","City","$181,000","","","1.0","","French Country","Sugar Mill Plantation","","","","Public","",""
"BR2021014444","","City","$282,000","","","1.0","","Other","Sugar Mill Plantation","","","","Public","Water Front","2018"
"BR2021014631","","City","$296,190","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","Water Front","2021"
"BR2021015338","","City","$270,000","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","Water Front","2014"
"BR2021015574","","City","$354,000","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","Water Access Community","2012"
"BR2021015580","","City","$393,000","","","2.0","","Traditional","Sugar Mill Plantation","","","","Public","","2019"
"BR2021015710","","City","$265,500","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","","2020"
"BR2021015823","","City","$260,000","","","1.0","","Contemporary","Sugar Mill Plantation","","","","Public","","2014"
"BR2021016271","","","$355,000","","","1.0","","Traditional","Sugar Mill Plantation","","","","Public","","2017"
"BR2021013902","","","$220,000","","","1.0","","Acadian","Whisper Hollow","","","","Public","","2021"
"2315718","","Treatment Plant","$215,000","","","1.0","","Acadian","Acadian Trace","","Yes","","Public","",""
"2315481","","Treatment Plant","$75,000","","","1.0","","Mobile Home","Not a Subdivision","","No","","Public","",""
"2318574","","Treatment Plant","$425,000","","","1.0","","Ranch","","","No","","Public","",""
"BR2021016290","","","$210,000","","","1.0","","Traditional","Whisper Hollow","","","","Public","","2021"
"BR2021018202","","","$270,060","","","1.0","","Contemporary","Whisper Hollow","","","","Public","","2021"
"CNC136095","","","$246,000","","","1.0","","","WEST LAKES ESTATES","","","","Public","","2012"
"CN144511","","City","$50,000","","","1.0","","","Audubon Place","","","","Public","","1949"
"CN144512","","City","$100,000","","","1.0","","","Walnut Grove","","","","Public","",""
"CN152377","","City","$167,500","","","1.0","","","Westwind","","","","Public","","2004"
"CN152582","","City","$180,000","","","1.0","","","Fairfield S/D","","","","Public","","1998"
"CN152256","","City","$276,000","","","1.0","","","Tennyson Oaks","","","","Public","","1997"
