"mls_number"	"property_type"	"air_conditioning"	"appartment_bi"	"patio_bi"	"school_high"	"school_junior"	"school_middle"	"school_general"	"photo_count"	"pool_bi"	"rear_yard_access_bi"	"roof_type"	"roof_type_shingle_bi"	"gas_type"	"out_building_livable_bi"	"out_building_not_livable_bi"	"living_area"	"land_acres"	"appliances_included_bi"	"garage_bi"	"condition"	"energy_efficient_bi"	"exterior_type"	"exterior_features"	"fire_place_bi"	"foundation_type"	"total_area"	"beds_total"	"bath_full"	"bath_half"	"age"	"days_on_market"	"sold_price"	"sold_date"	"sewer_type"	"spa_location"	"stories"	"property_style"	"city_limit_bi"	"subdivision_bi"	"tennis_court_bi"	"termite_contract"	"water_type"	"waterfront_bi"	"post_corona_bi"	"corona_crisis"
"CNC136503"	"SGL"	"central"	0	1	0	0	0	0	14	0	0	"metal"	0	"Natural"	0	0	1620	1.15	1	0	"Other"	0	"metal"	"none"	0	"raised"	2620	5	2	0	32	52	35000	42594	"septic"	"None"	1	"Mobile Home"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136502"	"SGL"	"not_central"	0	0	0	0	0	0	7	0	0	"other"	0	"Natural"	0	1	1699	0.2	0	0	"Other"	0	"brick"	"none"	0	"raised"	2000	3	2	0	31	207	12000	42748	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136499"	"SGL"	"central"	0	0	0	0	0	0	2	0	0	"other"	0	"Natural"	0	0	2400	2	0	1	"Other"	0	"other"	"none"	0	"raised"	2600	4	2	0	35	144	115000	42674	"septic"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	1	0	"pre"
"CNC136493"	"SGL"	"central"	0	0	0	0	0	0	2	0	0	"other"	0	"Natural"	0	0	1700	0.36	0	1	"Other"	0	"brick"	"none"	0	"other"	1700	4	2	0	31	109	58000	42650	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136490"	"SGL"	"central"	0	1	0	0	0	0	15	0	0	"other"	0	"Natural"	0	0	2288	0.32	1	0	"Other"	0	"other"	"porch"	0	"raised"	2665	3	2	0	33	180	80000	42718	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136489"	"SGL"	"central"	0	0	0	0	0	0	12	0	0	"other"	0	"Natural"	0	0	1563	1	1	1	"Other"	0	"other"	"fence"	1	"slab"	1717	3	2	0	30	87	74000	42629	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136480"	"SGL"	"central"	0	0	0	0	0	0	17	1	0	"other"	0	"Natural"	0	0	2400	2	0	0	"Other"	0	"other"	"none"	1	"other"	4000	4	3	0	38	84	140000	42625	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136479"	"SGL"	"central"	0	0	0	0	0	0	14	1	0	"other"	0	"Natural"	0	0	1610	1.93	0	0	"Other"	0	"brick"	"none"	1	"other"	2300	3	2	0	40	50	179900	42591	"septic"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136477"	"SGL"	"not_central"	0	0	0	0	0	0	11	0	0	"other"	0	"Natural"	0	0	1420	0.15	0	0	"Other"	0	"other"	"fence"	0	"raised"	1500	3	2	0	38	290	11000	42839	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
"CNC136470"	"SGL"	"central"	0	1	0	0	0	0	17	1	0	"other"	0	"Natural"	0	1	1718	1.46	1	1	"Other"	0	"brick"	"none"	1	"slab"	2373	3	2	0	40	273	188500	42845	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	0	"pre"
